"","ile","czestosc"
"na.spline",10,0.0002199881
"ns",10,0.0002199881
"p.adjust",10,0.0002199881
"percent_format",10,0.0002199881
"pretty",10,0.0002199881
"pull.map",10,0.0002199881
"qchisq",10,0.0002199881
"qnorm",10,0.0002199881
"qqnorm",10,0.0002199881
"rainbow",10,0.0002199881
"readPNG",10,0.0002199881
"relevel",10,0.0002199881
"representation",10,0.0002199881
"rescale",10,0.0002199881
"rmse",10,0.0002199881
"roc",10,0.0002199881
"scale_colour_brewer",10,0.0002199881
"scale_fill_continuous",10,0.0002199881
"separate",10,0.0002199881
"shinytheme",10,0.0002199881
"stopCluster",10,0.0002199881
"str_length",10,0.0002199881
"strftime",10,0.0002199881
"sweep",10,0.0002199881
"Sys.info",10,0.0002199881
"tally",10,0.0002199881
"topTable",10,0.0002199881
"ts",10,0.0002199881
"unlistWithNA",10,0.0002199881
"URLencode",10,0.0002199881
"voom",10,0.0002199881
"writeOGR",10,0.0002199881
"ymd_hms",10,0.0002199881
"add_headers",9,0.0001979893
"anova",9,0.0001979893
"browseURL",9,0.0001979893
"brushedPoints",9,0.0001979893
"DESeq",9,0.0001979893
"h2o.init",9,0.0001979893
"navbarPage",9,0.0001979893
"nlevels",9,0.0001979893
"prediction",9,0.0001979893
"results",9,0.0001979893
"scale_x_datetime",9,0.0001979893
"signif",9,0.0001979893
"slice",9,0.0001979893
"str_extract_all",9,0.0001979893
"str_to_title",9,0.0001979893
"theme_gray",9,0.0001979893
"toString",9,0.0001979893
"weekdays",9,0.0001979893
"abbreviate",8,0.0001759905
"add_axis",8,0.0001759905
"addCircleMarkers",8,0.0001759905
"addSource",8,0.0001759905
"aov",8,0.0001759905
"as.environment",8,0.0001759905
"autoplot",8,0.0001759905
"available.packages",8,0.0001759905
"bb",8,0.0001759905
"bind_shiny",8,0.0001759905
"bootstrapPage",8,0.0001759905
"Cairo",8,0.0001759905
"clean.variable.name",8,0.0001759905
"clean_names",8,0.0001759905
"confusionMatrix",8,0.0001759905
"Corpus",8,0.0001759905
"crossprod",8,0.0001759905
"d3heatmap",8,0.0001759905
"date",8,0.0001759905
"day",8,0.0001759905
"dbListTables",8,0.0001759905
"detach",8,0.0001759905
"dexp",8,0.0001759905
"dir.exists",8,0.0001759905
"dirname",8,0.0001759905
"DpiGet",8,0.0001759905
"dygraph",8,0.0001759905
"E",8,0.0001759905
"eigen",8,0.0001759905
"extract",8,0.0001759905
"FindDups",8,0.0001759905
"first",8,0.0001759905
"fivenum",8,0.0001759905
"format.twitter.date",8,0.0001759905
"geom_col",8,0.0001759905
"geom_linerange",8,0.0001759905
"get_timeline",8,0.0001759905
"getGEO",8,0.0001759905
"getUsers",8,0.0001759905
"ggvis",8,0.0001759905
"ggvisOutput",8,0.0001759905
"glob2rx",8,0.0001759905
"graph.adjacency",8,0.0001759905
"grey",8,0.0001759905
"h2o.importFile",8,0.0001759905
"hc_xAxis",8,0.0001759905
"hide",8,0.0001759905
"html",8,0.0001759905
"html_node",8,0.0001759905
"image_write",8,0.0001759905
"is.logical",8,0.0001759905
"is.vector",8,0.0001759905
"isTRUE",8,0.0001759905
"kmeans",8,0.0001759905
"layer",8,0.0001759905
"llply",8,0.0001759905
"logical",8,0.0001759905
"lower.tri",8,0.0001759905
"map_lgl",8,0.0001759905
"mat.or.vec",8,0.0001759905
"mcmc",8,0.0001759905
"modifyList",8,0.0001759905
"months",8,0.0001759905
"mysample",8,0.0001759905
"nearPoints",8,0.0001759905
"outer",8,0.0001759905
"parent.frame",8,0.0001759905
"pchisq",8,0.0001759905
"poisson",8,0.0001759905
"polygon",8,0.0001759905
"Polygon",8,0.0001759905
"Polygons",8,0.0001759905
"q",8,0.0001759905
"qqline",8,0.0001759905
"rank",8,0.0001759905
"rbindlist",8,0.0001759905
"read.dbf",8,0.0001759905
"rect.hclust",8,0.0001759905
"regexpr",8,0.0001759905
"registerDoMC",8,0.0001759905
"registerTwitterOAuth",8,0.0001759905
"rep_len",8,0.0001759905
"residuals",8,0.0001759905
"restore",8,0.0001759905
"rug",8,0.0001759905
"runApp",8,0.0001759905
"sample_n",8,0.0001759905
"save.image",8,0.0001759905
"scale_fill_viridis",8,0.0001759905
"scale_size",8,0.0001759905
"selectizeInput",8,0.0001759905
"sendCustomMessage",8,0.0001759905
"sessionInfo",8,0.0001759905
"set_valid_wd",8,0.0001759905
"shapefile",8,0.0001759905
"singleton",8,0.0001759905
"SpatialPolygons",8,0.0001759905
"SpatialPolygonsDataFrame",8,0.0001759905
"stopwords",8,0.0001759905
"subplot",8,0.0001759905
"TermDocumentMatrix",8,0.0001759905
"theme_classic",8,0.0001759905
"theme_ipsum",8,0.0001759905
"theme_rect",8,0.0001759905
"tidy",8,0.0001759905
"transmute",8,0.0001759905
"transpose",8,0.0001759905
"update",8,0.0001759905
"updateTextInput",8,0.0001759905
"url",8,0.0001759905
"V",8,0.0001759905
"valueBox",8,0.0001759905
"vcov",8,0.0001759905
"Vectorize",8,0.0001759905
"VectorSource",8,0.0001759905
"week",8,0.0001759905
"with_shiny",8,0.0001759905
"xgboost",8,0.0001759905
"xpathSApply",8,0.0001759905
"yaml.load_file",8,0.0001759905
"atop",7,0.0001539917
"colData",7,0.0001539917
"colors",7,0.0001539917
"coxph",7,0.0001539917
"fetch",7,0.0001539917
"file.edit",7,0.0001539917
"geom_ribbon",7,0.0001539917
"gh",7,0.0001539917
"gpclibPermit",7,0.0001539917
"guide_colorbar",7,0.0001539917
"hidden",7,0.0001539917
"hms",7,0.0001539917
"link",7,0.0001539917
"list.dirs",7,0.0001539917
"Matrix",7,0.0001539917
"object.size",7,0.0001539917
"on",7,0.0001539917
"plot_ly",7,0.0001539917
"POST",7,0.0001539917
"render",7,0.0001539917
"run",7,0.0001539917
"sparse.model.matrix",7,0.0001539917
"stop_for_status",7,0.0001539917
"Surv",7,0.0001539917
"tbl",7,0.0001539917
"theme_grey",7,0.0001539917
"transform",7,0.0001539917
"updateSelectInput",7,0.0001539917
"withProgress",7,0.0001539917
"access_token",6,0.0001319929
"aceEditor",6,0.0001319929
"addCircles",6,0.0001319929
"addParams",6,0.0001319929
"addProviderTiles",6,0.0001319929
"all.vars",6,0.0001319929
"anti_join",6,0.0001319929
"as.dist",6,0.0001319929
"as.double",6,0.0001319929
"atan",6,0.0001319929
"auc",6,0.0001319929
"basicPage",6,0.0001319929
"biocLite",6,0.0001319929
"bplapply",6,0.0001319929
"by_row",6,0.0001319929
"bzfile",6,0.0001319929
"cast",6,0.0001319929
"chol",6,0.0001319929
"choose",6,0.0001319929
"clean.unicode",6,0.0001319929
"col",6,0.0001319929
"colorNumeric",6,0.0001319929
"compact",6,0.0001319929
"confint",6,0.0001319929
"contour",6,0.0001319929
"cpm",6,0.0001319929
"d3heatmapOutput",6,0.0001319929
"DataFrame",6,0.0001319929
"date_breaks",6,0.0001319929
"dput",6,0.0001319929
"drop",6,0.0001319929
"dt",6,0.0001319929
"dygraphOutput",6,0.0001319929
"ecdf",6,0.0001319929
"effectplot",6,0.0001319929
"end",6,0.0001319929
"estimateSizeFactors",6,0.0001319929
"ExecutionEngine",6,0.0001319929
"exonsBy",6,0.0001319929
"extent",6,0.0001319929
"fct_reorder",6,0.0001319929
"fitted",6,0.0001319929
"flatten_dbl",6,0.0001319929
"force",6,0.0001319929
"forceNetwork",6,0.0001319929
"forecast",6,0.0001319929
"full_join",6,0.0001319929
"geno.image",6,0.0001319929
"geocode",6,0.0001319929
"geojson_write",6,0.0001319929
"geom_label_repel",6,0.0001319929
"geom_pointrange",6,0.0001319929
"geom_text_repel",6,0.0001319929
"get_opts",6,0.0001319929
"getFriends",6,0.0001319929
"getgenonames",6,0.0001319929
"getNativeSymbolInfo",6,0.0001319929
"getRversion",6,0.0001319929
"getStream",6,0.0001319929
"getTagCount",6,0.0001319929
"getText",6,0.0001319929
"glmFit",6,0.0001319929
"glmLRT",6,0.0001319929
"googleAuthUI",6,0.0001319929
"graph_from_data_frame",6,0.0001319929
"gray",6,0.0001319929
